hostile,card_name,tier_start,tier_end,health,walk,run,sprint,max_concurrent
Heavy Ranged Tank,RangedTank_T1,1,4,120,1.4,1.9,2.2,4
Heavy Ranged Tank,RangedTank_T2,5,8,163,1.5,2.1,2.391,5
Heavy Ranged Tank,RangedTank_T3,9,12,222,1.6,2.3,2.598,6
Heavy Ranged Tank,RangedTank_T4,13,16,302,1.8,2.5,2.823,7
Heavy Ranged Tank,RangedTank_T5,17,21,411,1.9,2.7,3.068,8
Ranged Sentinel,RangedSentinel_T1,1,4,30,0.4,0.5,0.6,3
Ranged Sentinel,RangedSentinel_T2,5,8,41,0.4,0.6,0.652,4
Ranged Sentinel,RangedSentinel_T3,9,12,56,0.4,0.6,0.709,4
Ranged Sentinel,RangedSentinel_T4,13,16,76,0.5,0.7,0.77,5
Ranged Sentinel,RangedSentinel_T5,17,21,103,0.5,0.7,0.837,6
Cyber-Boar,CyberBoar_T1,1,4,75,2.2,3.1,3.58,5
Cyber-Boar,CyberBoar_T2,5,8,102,2.4,3.4,3.89,6
Cyber-Boar,CyberBoar_T3,9,12,139,2.6,3.7,4.228,7
Cyber-Boar,CyberBoar_T4,13,16,189,2.9,4.0,4.594,8
Cyber-Boar,CyberBoar_T5,17,21,257,3.1,4.4,4.992,10
