check,error_type,severity,location,system,game_context,occurrences,first_seconds,last_seconds,session,timestamp,log_line
INV-08,SAFETY_RADIUS_BREACH,high,X=-1328.300899 Y=-21.269231 Z=85.399991,WaveManager spawn loop,"a hostile appeared 123.544370cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 1 hostiles alive; hype 0.000000; score 0; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000",1,7.4,7.4,1,2026.08.28-01.39.50.413,24032
INV-01,BOUNDARY_BREAK,high,X=-1361.324363 Y=-43.183383 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 1 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,7.5,7.5,1,2026.08.28-01.39.50.575,24052
INV-08,SAFETY_RADIUS_BREACH,high,X=-1327.019840 Y=-24.134928 Z=85.399991,WaveManager spawn loop,"a hostile appeared 125.326671cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 2 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000",1,7.9,7.9,1,2026.08.28-01.39.50.987,24068
INV-01,BOUNDARY_BREAK,high,X=-1333.712560 Y=-29.601474 Z=85.399990,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 2 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,8.0,8.0,1,2026.08.28-01.39.51.053,24072
INV-08,SAFETY_RADIUS_BREACH,high,X=-1326.400002 Y=-20.000000 Z=209.805812,WaveManager spawn loop,"a hostile appeared 176.786454cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000",1,8.4,8.4,1,2026.08.28-01.39.51.420,24078
A-01,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,8.5,8.5,1,2026.08.28-01.39.51.551,24080
INV-01,BOUNDARY_BREAK,high,X=-1342.494506 Y=-37.461902 Z=173.081265,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,8.5,8.5,1,2026.08.28-01.39.51.552,24082
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,2,8.5,9.0,1,2026.08.28-01.39.51.552,24084
INV-01,BOUNDARY_BREAK,high,X=-1326.400001 Y=14.399969 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 20; contestant at X=-1553.451663 Y=57.295051 Z=85.149989; health 225.000000 of 300.000000,1,9.5,9.5,1,2026.08.28-01.39.52.551,24110
INV-05,BOUNDARY_BREAK,high,X=-1553.451663 Y=57.295051 Z=85.149989,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 20; contestant at X=-1553.451663 Y=57.295051 Z=85.149989; health 225.000000 of 300.000000,1,9.5,9.5,1,2026.08.28-01.39.52.551,24112
INV-08,SAFETY_RADIUS_BREACH,high,X=-1326.400001 Y=14.399969 Z=85.399991,WaveManager spawn loop,"a hostile appeared 231.068188cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 20; contestant at X=-1553.451663 Y=57.295051 Z=85.149989; health 225.000000 of 300.000000",1,9.6,9.6,1,2026.08.28-01.39.52.618,24118
INV-05,BOUNDARY_BREAK,high,X=-1553.451663 Y=57.295051 Z=85.149989,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 20; contestant at X=-1553.451663 Y=57.295051 Z=85.149989; health 225.000000 of 300.000000,1,10.0,10.0,1,2026.08.28-01.39.53.055,24120
A-02,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed east past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 5 hostiles alive; hype 0.000000; score 20; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,1,12.0,12.0,1,2026.08.28-01.39.55.080,24148
INV-01,BOUNDARY_BREAK,high,X=-1326.400001 Y=-19.999999 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 5 hostiles alive; hype 0.000000; score 20; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,1,12.0,12.0,1,2026.08.28-01.39.55.081,24150
INV-05,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 5 hostiles alive; hype 0.000000; score 20; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,4,12.0,13.5,1,2026.08.28-01.39.55.085,24152
A-03,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,pushed north past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 5 hostiles alive; hype 0.000000; score 20; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 200.000000 of 300.000000,1,15.5,15.5,1,2026.08.28-01.39.58.587,24162
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 5 hostiles alive; hype 0.000000; score 20; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 200.000000 of 300.000000,4,15.5,17.0,1,2026.08.28-01.39.58.587,24164
INV-01,BOUNDARY_BREAK,high,X=-1326.400001 Y=-19.999999 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 20; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 200.000000 of 300.000000,1,18.0,18.0,1,2026.08.28-01.40.01.079,24184
